,iid,gender,partner,pid,match,samerace,age_o,race_o,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field_cd,race,imprace,imprelig,income,date,go_out,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga
41,5,0,2,12.0,0,1,22.0,2.0,0.0,0.0,40.0,0.0,0.0,7.0,10.0,7.0,6.0,5.0,7.0,4.0,1.0,21.0,1.0,2.0,8.0,1.0,86340.0,4.0,1.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0
42,5,0,3,13.0,0,0,22.0,4.0,18.0,19.0,18.0,14.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,21.0,1.0,2.0,8.0,1.0,86340.0,4.0,1.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0
43,5,0,4,14.0,1,1,23.0,2.0,5.0,15.0,40.0,5.0,5.0,8.0,6.0,8.0,10.0,10.0,7.0,7.0,1.0,21.0,1.0,2.0,8.0,1.0,86340.0,4.0,1.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0
44,5,0,5,15.0,0,0,24.0,3.0,10.0,20.0,10.0,10.0,20.0,9.0,9.0,7.0,9.0,5.0,5.0,7.0,2.0,21.0,1.0,2.0,8.0,1.0,86340.0,4.0,1.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0
45,5,0,6,16.0,0,1,25.0,2.0,0.0,30.0,10.0,0.0,10.0,8.0,7.0,7.0,7.0,7.0,6.0,7.0,2.0,21.0,1.0,2.0,8.0,1.0,86340.0,4.0,1.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0
46,5,0,7,17.0,0,1,30.0,2.0,15.0,25.0,10.0,5.0,10.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,2.0,21.0,1.0,2.0,8.0,1.0,86340.0,4.0,1.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0
47,5,0,8,18.0,0,1,27.0,2.0,11.11,11.11,11.11,11.11,22.22,5.0,6.0,5.0,5.0,5.0,6.0,5.0,2.0,21.0,1.0,2.0,8.0,1.0,86340.0,4.0,1.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0
48,5,0,9,19.0,1,1,28.0,2.0,0.0,25.0,10.0,0.0,15.0,9.0,9.0,9.0,9.0,6.0,7.0,7.0,2.0,21.0,1.0,2.0,8.0,1.0,86340.0,4.0,1.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0
49,5,0,10,20.0,0,1,24.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,7.0,10.0,5.0,4.0,10.0,2.0,21.0,1.0,2.0,8.0,1.0,86340.0,4.0,1.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0
50,6,0,1,11.0,0,0,27.0,2.0,20.0,20.0,20.0,0.0,5.0,9.0,8.0,9.0,8.0,4.0,7.0,4.0,2.0,23.0,1.0,4.0,1.0,1.0,60304.0,3.0,1.0,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0
51,6,0,2,12.0,0,0,22.0,2.0,0.0,0.0,40.0,0.0,0.0,8.0,10.0,6.0,7.0,6.0,7.0,4.0,2.0,23.0,1.0,4.0,1.0,1.0,60304.0,3.0,1.0,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0
52,6,0,3,13.0,0,1,22.0,4.0,18.0,19.0,18.0,14.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,23.0,1.0,4.0,1.0,1.0,60304.0,3.0,1.0,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0
53,6,0,4,14.0,1,0,23.0,2.0,5.0,15.0,40.0,5.0,5.0,8.0,8.0,7.0,9.0,8.0,7.0,7.0,2.0,23.0,1.0,4.0,1.0,1.0,60304.0,3.0,1.0,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0
54,6,0,5,15.0,0,0,24.0,3.0,10.0,20.0,10.0,10.0,20.0,7.0,9.0,7.0,9.0,6.0,9.0,2.0,1.0,23.0,1.0,4.0,1.0,1.0,60304.0,3.0,1.0,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0
55,6,0,6,16.0,0,0,25.0,2.0,0.0,30.0,10.0,0.0,10.0,6.0,8.0,8.0,8.0,7.0,6.0,6.0,2.0,23.0,1.0,4.0,1.0,1.0,60304.0,3.0,1.0,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0
56,6,0,7,17.0,0,0,30.0,2.0,15.0,25.0,10.0,5.0,10.0,6.0,8.0,4.0,5.0,4.0,3.0,3.0,2.0,23.0,1.0,4.0,1.0,1.0,60304.0,3.0,1.0,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0
57,6,0,8,18.0,0,0,27.0,2.0,11.11,11.11,11.11,11.11,22.22,7.0,8.0,7.0,8.0,5.0,7.0,6.0,2.0,23.0,1.0,4.0,1.0,1.0,60304.0,3.0,1.0,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0
58,6,0,9,19.0,1,0,28.0,2.0,0.0,25.0,10.0,0.0,15.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,2.0,23.0,1.0,4.0,1.0,1.0,60304.0,3.0,1.0,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0
59,6,0,10,20.0,0,0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,6.0,10.0,7.0,6.0,7.0,2.0,23.0,1.0,4.0,1.0,1.0,60304.0,3.0,1.0,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0
60,7,0,1,11.0,0,0,27.0,2.0,20.0,20.0,20.0,0.0,5.0,8.0,8.0,8.0,7.0,7.0,7.0,4.0,2.0,22.0,1.0,4.0,2.0,4.0,54620.0,5.0,1.0,1.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0
61,7,0,2,12.0,0,0,22.0,2.0,0.0,0.0,40.0,0.0,0.0,9.0,10.0,6.0,6.0,5.0,8.0,4.0,1.0,22.0,1.0,4.0,2.0,4.0,54620.0,5.0,1.0,1.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0
63,7,0,4,14.0,1,0,23.0,2.0,5.0,15.0,40.0,5.0,5.0,8.0,9.0,8.0,9.0,9.0,8.0,7.0,1.0,22.0,1.0,4.0,2.0,4.0,54620.0,5.0,1.0,1.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0
64,7,0,5,15.0,0,0,24.0,3.0,10.0,20.0,10.0,10.0,20.0,7.0,9.0,6.0,9.0,5.0,8.0,4.0,2.0,22.0,1.0,4.0,2.0,4.0,54620.0,5.0,1.0,1.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0
65,7,0,6,16.0,0,0,25.0,2.0,0.0,30.0,10.0,0.0,10.0,8.0,8.0,6.0,6.0,6.0,7.0,7.0,2.0,22.0,1.0,4.0,2.0,4.0,54620.0,5.0,1.0,1.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0
66,7,0,7,17.0,0,0,30.0,2.0,15.0,25.0,10.0,5.0,10.0,6.0,5.0,4.0,4.0,3.0,5.0,4.0,2.0,22.0,1.0,4.0,2.0,4.0,54620.0,5.0,1.0,1.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0
67,7,0,8,18.0,0,0,27.0,2.0,11.11,11.11,11.11,11.11,22.22,7.0,6.0,7.0,7.0,5.0,7.0,5.0,2.0,22.0,1.0,4.0,2.0,4.0,54620.0,5.0,1.0,1.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0
68,7,0,9,19.0,1,0,28.0,2.0,0.0,25.0,10.0,0.0,15.0,7.0,9.0,9.0,9.0,10.0,9.0,9.0,2.0,22.0,1.0,4.0,2.0,4.0,54620.0,5.0,1.0,1.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0
69,7,0,10,20.0,0,0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,6.0,8.0,7.0,7.0,7.0,2.0,22.0,1.0,4.0,2.0,4.0,54620.0,5.0,1.0,1.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0
90,10,0,1,11.0,0,1,27.0,2.0,20.0,20.0,20.0,0.0,5.0,8.0,7.0,8.0,6.0,5.0,6.0,3.0,2.0,26.0,13.0,2.0,4.0,4.0,48652.0,6.0,1.0,9.0,9.0,9.0,9.0,7.0,6.0,6.0,7.0,1.0,7.0,8.0,5.0,6.0,7.0,7.0,8.0,7.0,7.0
91,10,0,2,12.0,0,1,22.0,2.0,0.0,0.0,40.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,26.0,13.0,2.0,4.0,4.0,48652.0,6.0,1.0,9.0,9.0,9.0,9.0,7.0,6.0,6.0,7.0,1.0,7.0,8.0,5.0,6.0,7.0,7.0,8.0,7.0,7.0
92,10,0,3,13.0,1,0,22.0,4.0,18.0,19.0,18.0,14.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,26.0,13.0,2.0,4.0,4.0,48652.0,6.0,1.0,9.0,9.0,9.0,9.0,7.0,6.0,6.0,7.0,1.0,7.0,8.0,5.0,6.0,7.0,7.0,8.0,7.0,7.0
93,10,0,4,14.0,0,1,23.0,2.0,5.0,15.0,40.0,5.0,5.0,8.0,7.0,9.0,8.0,8.0,7.0,7.0,1.0,26.0,13.0,2.0,4.0,4.0,48652.0,6.0,1.0,9.0,9.0,9.0,9.0,7.0,6.0,6.0,7.0,1.0,7.0,8.0,5.0,6.0,7.0,7.0,8.0,7.0,7.0
95,10,0,6,16.0,0,1,25.0,2.0,0.0,30.0,10.0,0.0,10.0,8.0,7.0,7.0,7.0,7.0,6.0,6.0,2.0,26.0,13.0,2.0,4.0,4.0,48652.0,6.0,1.0,9.0,9.0,9.0,9.0,7.0,6.0,6.0,7.0,1.0,7.0,8.0,5.0,6.0,7.0,7.0,8.0,7.0,7.0
96,10,0,7,17.0,0,1,30.0,2.0,15.0,25.0,10.0,5.0,10.0,7.0,4.0,3.0,4.0,4.0,3.0,6.0,2.0,26.0,13.0,2.0,4.0,4.0,48652.0,6.0,1.0,9.0,9.0,9.0,9.0,7.0,6.0,6.0,7.0,1.0,7.0,8.0,5.0,6.0,7.0,7.0,8.0,7.0,7.0
97,10,0,8,18.0,0,1,27.0,2.0,11.11,11.11,11.11,11.11,22.22,6.0,6.0,6.0,6.0,5.0,7.0,6.0,2.0,26.0,13.0,2.0,4.0,4.0,48652.0,6.0,1.0,9.0,9.0,9.0,9.0,7.0,6.0,6.0,7.0,1.0,7.0,8.0,5.0,6.0,7.0,7.0,8.0,7.0,7.0
98,10,0,9,19.0,1,1,28.0,2.0,0.0,25.0,10.0,0.0,15.0,7.0,7.0,7.0,6.0,6.0,7.0,8.0,2.0,26.0,13.0,2.0,4.0,4.0,48652.0,6.0,1.0,9.0,9.0,9.0,9.0,7.0,6.0,6.0,7.0,1.0,7.0,8.0,5.0,6.0,7.0,7.0,8.0,7.0,7.0
99,10,0,10,20.0,0,1,24.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,2.0,26.0,13.0,2.0,4.0,4.0,48652.0,6.0,1.0,9.0,9.0,9.0,9.0,7.0,6.0,6.0,7.0,1.0,7.0,8.0,5.0,6.0,7.0,7.0,8.0,7.0,7.0
110,12,1,1,1.0,0,0,21.0,4.0,20.0,20.0,15.0,15.0,15.0,8.0,7.0,8.0,5.0,6.0,7.0,5.0,1.0,22.0,1.0,2.0,1.0,1.0,29237.0,1.0,1.0,1.0,9.0,7.0,9.0,8.0,7.0,6.0,3.0,3.0,5.0,6.0,6.0,4.0,7.0,7.0,9.0,5.0,5.0
111,12,1,2,2.0,0,1,24.0,2.0,5.0,25.0,20.0,0.0,5.0,5.0,6.0,6.0,9.0,6.0,7.0,3.0,2.0,22.0,1.0,2.0,1.0,1.0,29237.0,1.0,1.0,1.0,9.0,7.0,9.0,8.0,7.0,6.0,3.0,3.0,5.0,6.0,6.0,4.0,7.0,7.0,9.0,5.0,5.0
112,12,1,3,3.0,0,1,25.0,2.0,10.0,35.0,10.0,10.0,0.0,7.0,9.0,8.0,9.0,7.0,8.0,7.0,2.0,22.0,1.0,2.0,1.0,1.0,29237.0,1.0,1.0,1.0,9.0,7.0,9.0,8.0,7.0,6.0,3.0,3.0,5.0,6.0,6.0,4.0,7.0,7.0,9.0,5.0,5.0
113,12,1,4,4.0,0,1,23.0,2.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,10.0,7.0,8.0,8.0,1.0,1.0,22.0,1.0,2.0,1.0,1.0,29237.0,1.0,1.0,1.0,9.0,7.0,9.0,8.0,7.0,6.0,3.0,3.0,5.0,6.0,6.0,4.0,7.0,7.0,9.0,5.0,5.0
114,12,1,5,5.0,0,1,21.0,2.0,5.0,25.0,25.0,10.0,15.0,6.0,6.0,5.0,5.0,5.0,6.0,4.0,1.0,22.0,1.0,2.0,1.0,1.0,29237.0,1.0,1.0,1.0,9.0,7.0,9.0,8.0,7.0,6.0,3.0,3.0,5.0,6.0,6.0,4.0,7.0,7.0,9.0,5.0,5.0
115,12,1,6,6.0,0,0,23.0,4.0,25.0,20.0,25.0,5.0,15.0,9.0,9.0,6.0,8.0,2.0,7.0,6.0,2.0,22.0,1.0,2.0,1.0,1.0,29237.0,1.0,1.0,1.0,9.0,7.0,9.0,8.0,7.0,6.0,3.0,3.0,5.0,6.0,6.0,4.0,7.0,7.0,9.0,5.0,5.0
116,12,1,7,7.0,0,0,22.0,4.0,15.0,25.0,20.0,15.0,10.0,6.0,8.0,4.0,9.0,4.0,7.0,3.0,1.0,22.0,1.0,2.0,1.0,1.0,29237.0,1.0,1.0,1.0,9.0,7.0,9.0,8.0,7.0,6.0,3.0,3.0,5.0,6.0,6.0,4.0,7.0,7.0,9.0,5.0,5.0
117,12,1,8,8.0,1,1,25.0,2.0,18.18,27.27,18.18,18.18,9.09,7.0,7.0,9.0,6.0,7.0,8.0,7.0,2.0,22.0,1.0,2.0,1.0,1.0,29237.0,1.0,1.0,1.0,9.0,7.0,9.0,8.0,7.0,6.0,3.0,3.0,5.0,6.0,6.0,4.0,7.0,7.0,9.0,5.0,5.0
118,12,1,9,9.0,1,0,26.0,6.0,10.0,20.0,30.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,2.0,22.0,1.0,2.0,1.0,1.0,29237.0,1.0,1.0,1.0,9.0,7.0,9.0,8.0,7.0,6.0,3.0,3.0,5.0,6.0,6.0,4.0,7.0,7.0,9.0,5.0,5.0
130,14,1,1,1.0,1,0,21.0,4.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,7.0,6.0,8.0,7.0,6.0,2.0,23.0,1.0,2.0,1.0,1.0,56580.0,4.0,1.0,1.0,10.0,6.0,8.0,8.0,3.0,3.0,10.0,8.0,8.0,6.0,7.0,3.0,10.0,6.0,8.0,6.0,1.0
131,14,1,2,2.0,1,1,24.0,2.0,5.0,25.0,20.0,0.0,5.0,9.0,7.0,6.0,5.0,7.0,7.0,8.0,2.0,23.0,1.0,2.0,1.0,1.0,56580.0,4.0,1.0,1.0,10.0,6.0,8.0,8.0,3.0,3.0,10.0,8.0,8.0,6.0,7.0,3.0,10.0,6.0,8.0,6.0,1.0
132,14,1,3,3.0,0,1,25.0,2.0,10.0,35.0,10.0,10.0,0.0,7.0,9.0,7.0,9.0,7.0,8.0,7.0,2.0,23.0,1.0,2.0,1.0,1.0,56580.0,4.0,1.0,1.0,10.0,6.0,8.0,8.0,3.0,3.0,10.0,8.0,8.0,6.0,7.0,3.0,10.0,6.0,8.0,6.0,1.0
133,14,1,4,4.0,1,1,23.0,2.0,20.0,20.0,20.0,10.0,10.0,10.0,7.0,10.0,7.0,10.0,8.0,10.0,1.0,23.0,1.0,2.0,1.0,1.0,56580.0,4.0,1.0,1.0,10.0,6.0,8.0,8.0,3.0,3.0,10.0,8.0,8.0,6.0,7.0,3.0,10.0,6.0,8.0,6.0,1.0
134,14,1,5,5.0,1,1,21.0,2.0,5.0,25.0,25.0,10.0,15.0,5.0,5.0,7.0,7.0,9.0,8.0,2.0,1.0,23.0,1.0,2.0,1.0,1.0,56580.0,4.0,1.0,1.0,10.0,6.0,8.0,8.0,3.0,3.0,10.0,8.0,8.0,6.0,7.0,3.0,10.0,6.0,8.0,6.0,1.0
135,14,1,6,6.0,1,0,23.0,4.0,25.0,20.0,25.0,5.0,15.0,6.0,7.0,8.0,2.0,8.0,9.0,4.0,2.0,23.0,1.0,2.0,1.0,1.0,56580.0,4.0,1.0,1.0,10.0,6.0,8.0,8.0,3.0,3.0,10.0,8.0,8.0,6.0,7.0,3.0,10.0,6.0,8.0,6.0,1.0
136,14,1,7,7.0,1,0,22.0,4.0,15.0,25.0,20.0,15.0,10.0,8.0,8.0,7.0,7.0,6.0,8.0,6.0,1.0,23.0,1.0,2.0,1.0,1.0,56580.0,4.0,1.0,1.0,10.0,6.0,8.0,8.0,3.0,3.0,10.0,8.0,8.0,6.0,7.0,3.0,10.0,6.0,8.0,6.0,1.0
137,14,1,8,8.0,1,1,25.0,2.0,18.18,27.27,18.18,18.18,9.09,6.0,5.0,6.0,6.0,5.0,5.0,6.0,2.0,23.0,1.0,2.0,1.0,1.0,56580.0,4.0,1.0,1.0,10.0,6.0,8.0,8.0,3.0,3.0,10.0,8.0,8.0,6.0,7.0,3.0,10.0,6.0,8.0,6.0,1.0
138,14,1,9,9.0,1,0,26.0,6.0,10.0,20.0,30.0,10.0,10.0,9.0,8.0,8.0,7.0,7.0,7.0,5.0,2.0,23.0,1.0,2.0,1.0,1.0,56580.0,4.0,1.0,1.0,10.0,6.0,8.0,8.0,3.0,3.0,10.0,8.0,8.0,6.0,7.0,3.0,10.0,6.0,8.0,6.0,1.0
140,15,1,1,1.0,1,0,21.0,4.0,20.0,20.0,15.0,15.0,15.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,2.0,24.0,1.0,3.0,3.0,1.0,36782.0,4.0,1.0,1.0,9.0,7.0,9.0,7.0,4.0,3.0,6.0,7.0,9.0,8.0,6.0,9.0,9.0,6.0,7.0,2.0,1.0
141,15,1,2,2.0,0,0,24.0,2.0,5.0,25.0,20.0,0.0,5.0,8.0,7.0,9.0,7.0,8.0,8.0,6.0,1.0,24.0,1.0,3.0,3.0,1.0,36782.0,4.0,1.0,1.0,9.0,7.0,9.0,7.0,4.0,3.0,6.0,7.0,9.0,8.0,6.0,9.0,9.0,6.0,7.0,2.0,1.0
143,15,1,4,4.0,0,0,23.0,2.0,20.0,20.0,20.0,10.0,10.0,9.0,8.0,9.0,8.0,9.0,7.0,7.0,2.0,24.0,1.0,3.0,3.0,1.0,36782.0,4.0,1.0,1.0,9.0,7.0,9.0,7.0,4.0,3.0,6.0,7.0,9.0,8.0,6.0,9.0,9.0,6.0,7.0,2.0,1.0
144,15,1,5,5.0,0,0,21.0,2.0,5.0,25.0,25.0,10.0,15.0,7.0,7.0,5.0,4.0,8.0,7.0,4.0,2.0,24.0,1.0,3.0,3.0,1.0,36782.0,4.0,1.0,1.0,9.0,7.0,9.0,7.0,4.0,3.0,6.0,7.0,9.0,8.0,6.0,9.0,9.0,6.0,7.0,2.0,1.0
145,15,1,6,6.0,0,0,23.0,4.0,25.0,20.0,25.0,5.0,15.0,4.0,8.0,8.0,4.0,2.0,4.0,3.0,1.0,24.0,1.0,3.0,3.0,1.0,36782.0,4.0,1.0,1.0,9.0,7.0,9.0,7.0,4.0,3.0,6.0,7.0,9.0,8.0,6.0,9.0,9.0,6.0,7.0,2.0,1.0
146,15,1,7,7.0,0,0,22.0,4.0,15.0,25.0,20.0,15.0,10.0,7.0,7.0,4.0,8.0,5.0,5.0,6.0,1.0,24.0,1.0,3.0,3.0,1.0,36782.0,4.0,1.0,1.0,9.0,7.0,9.0,7.0,4.0,3.0,6.0,7.0,9.0,8.0,6.0,9.0,9.0,6.0,7.0,2.0,1.0
147,15,1,8,8.0,1,0,25.0,2.0,18.18,27.27,18.18,18.18,9.09,8.0,8.0,5.0,6.0,7.0,6.0,5.0,2.0,24.0,1.0,3.0,3.0,1.0,36782.0,4.0,1.0,1.0,9.0,7.0,9.0,7.0,4.0,3.0,6.0,7.0,9.0,8.0,6.0,9.0,9.0,6.0,7.0,2.0,1.0
148,15,1,9,9.0,1,0,26.0,6.0,10.0,20.0,30.0,10.0,10.0,10.0,8.0,8.0,5.0,5.0,5.0,5.0,2.0,24.0,1.0,3.0,3.0,1.0,36782.0,4.0,1.0,1.0,9.0,7.0,9.0,7.0,4.0,3.0,6.0,7.0,9.0,8.0,6.0,9.0,9.0,6.0,7.0,2.0,1.0
160,17,1,1,1.0,0,0,21.0,4.0,20.0,20.0,15.0,15.0,15.0,6.0,7.0,4.0,6.0,7.0,6.0,5.0,2.0,30.0,13.0,2.0,1.0,1.0,38548.0,3.0,2.0,2.0,8.0,2.0,9.0,7.0,7.0,5.0,4.0,2.0,6.0,4.0,2.0,7.0,9.0,7.0,7.0,2.0,2.0
161,17,1,2,2.0,0,1,24.0,2.0,5.0,25.0,20.0,0.0,5.0,5.0,9.0,6.0,7.0,9.0,8.0,7.0,2.0,30.0,13.0,2.0,1.0,1.0,38548.0,3.0,2.0,2.0,8.0,2.0,9.0,7.0,7.0,5.0,4.0,2.0,6.0,4.0,2.0,7.0,9.0,7.0,7.0,2.0,2.0
